"AGE","SEX","SCHL","WORK","INCOME","XGRP"
27,"여","전문학사","기업",30000,1
30,"남","고졸","기업",20000,8
30,"남","석사","비영리단체",8300,4
32,"여","학사","기업",57000,5
44,"여","학사","기업",74000,8
49,"남","전문학사","기업",36000,5
48,"여","전문학사","기업",23000,10
47,"남","고졸","기업",15700,9
30,"여","전문학사","공무원",31000,9
31,"여","석사","기업",59150,8
43,"남","고졸","기업",20000,2
36,"여","전문학사","기업",95000,9
33,"남","전문학사","기업",45000,9
47,"남","고졸","비영리단체",50010,10
44,"남","고졸","비영리단체",6700,1
39,"남","전문학사","기업",41620,8
25,"여","학사","기업",14400,5
25,"여","학사","비영리단체",36000,6
25,"남","학사","비영리단체",1e+05,9
44,"여","석사","비영리단체",230000,1
39,"남","학사","기업",1e+05,1
34,"남","학사","기업",31000,10
35,"남","고졸","기업",21500,8
45,"여","학사","기업",134000,4
50,"여","전문학사","기업",45400,9
28,"남","학사","기업",63150,10
29,"여","석사","비영리단체",56000,3
33,"여","고졸","기업",11100,7
42,"남","석사","기업",53000,5
22,"남","전문학사","기업",6000,10
30,"남","박사","기업",131000,10
25,"남","학사","기업",23100,5
31,"남","고졸","기업",38000,3
29,"남","고졸","기업",40000,7
46,"남","학사","기업",120000,6
25,"여","학사","기업",30000,6
25,"남","전문학사","기업",39010,5
35,"남","석사","기업",120000,5
29,"여","학사","기업",150000,6
48,"여","고졸","기업",45000,5
30,"여","중졸이하","기업",13000,10
42,"여","석사","공무원",80000,9
41,"남","석사","공무원",80000,3
42,"여","고졸","공무원",50000,5
46,"여","전문학사","기업",54020,5
29,"여","학사","기업",65000,1
25,"여","전문학사","기업",12900,4
29,"남","전문학사","공무원",54000,5
35,"여","석사","공무원",56900,2
29,"남","석사","공무원",50000,8
42,"남","중졸이하","비영리단체",30000,1
28,"남","중졸이하","기업",13000,8
45,"여","학사","기업",48000,5
31,"남","고졸","기업",41000,8
33,"여","학사","기업",92000,1
32,"여","고졸","기업",33000,1
43,"여","학사","비영리단체",86800,5
41,"남","석사","기업",48900,7
33,"여","석사","공무원",35000,3
28,"남","학사","기업",51500,9
24,"남","고졸","기업",31500,7
46,"남","고졸","기업",35000,9
42,"남","고졸","기업",11800,5
24,"여","학사","공무원",22900,5
26,"남","전문학사","기업",35000,3
48,"남","석사","자영업",140000,4
33,"여","고졸","공무원",30000,3
33,"남","전문학사","기업",35000,10
31,"남","전문학사","기업",90000,5
42,"남","고졸","자영업",19200,1
50,"남","전문학사","기업",113000,8
39,"남","전문학사","자영업",22400,4
23,"남","고졸","자영업",4800,6
50,"여","전문학사","기업",49000,7
48,"남","고졸","기업",51000,3
46,"남","고졸","비영리단체",70000,1
38,"여","학사","기업",72000,5
39,"남","전문학사","기업",62000,7
35,"여","고졸","기업",22000,10
48,"남","전문학사","기업",36000,10
