name,year_start,year_end,position,height,weight
Maciej Lampe,2004.0,2006.0,C,06-11,275.0
Jim Lampley,1987.0,1987.0,C,06-10,230.0
Sean Lampley,2003.0,2004.0,F,06-07,227.0
Carl Landry,2008.0,2016.0,F,06-09,248.0
Marcus Landry,2010.0,2010.0,F,06-07,230.0
Mark Landsberger,1978.0,1984.0,F-C,06-08,215.0
Jerome Lane,1989.0,1993.0,F,06-06,230.0
Andrew Lang,1989.0,2000.0,C,06-11,245.0
Antonio Lang,1995.0,2000.0,F-G,06-08,205.0
James Lang,2007.0,2007.0,C,06-10,285.0
Trajan Langdon,2000.0,2002.0,G,06-03,197.0
Keith Langford,2008.0,2008.0,G,06-04,215.0
Dan Langhi,2001.0,2004.0,F,06-11,220.0
Bob Lanier,1971.0,1984.0,C,06-11,250.0
Stu Lantz,1969.0,1976.0,G,06-03,175.0
Nicolas Laprovittola,2017.0,2017.0,G,06-04,180.0
York Larese,1962.0,1962.0,G,06-04,183.0
Shane Larkin,2014.0,2018.0,G,05-11,175.0
Rusty LaRue,1998.0,2004.0,G,06-02,210.0
Rudy LaRusso,1960.0,1969.0,F-C,06-07,220.0
John Laskowski,1976.0,1977.0,G,06-06,185.0
Stephane Lasme,2008.0,2008.0,F,06-08,215.0
Dave Lattin,1968.0,1973.0,F-C,06-06,225.0
Priest Lauderdale,1997.0,1998.0,C,07-04,325.0
Rich Laurel,1978.0,1978.0,G,06-06,190.0
Harry Laurie,1971.0,1971.0,G,06-01,178.0
Walt Lautenbach,1950.0,1950.0,G-F,06-02,185.0
Joffrey Lauvergne,2015.0,2018.0,C-F,06-11,220.0
Tony Lavelli,1950.0,1951.0,F,06-03,185.0
Zach LaVine,2015.0,2017.0,G,06-05,189.0
Bob Lavoy,1951.0,1954.0,F-C,06-07,185.0
Acie Law,2008.0,2011.0,G,06-03,195.0
Gani Lawal,2011.0,2011.0,F,06-09,234.0
Edmund Lawrence,1981.0,1981.0,C,7-0,228.0
Jason Lawson,1998.0,1998.0,C,06-11,240.0
Ty Lawson,2010.0,2017.0,G,05-11,195.0
Jake Layman,2017.0,2018.0,F,06-09,210.0
Mo Layton,1972.0,1978.0,G,06-01,180.0
T.J. Leaf,2018.0,2018.0,F,06-10,222.0
Manny Leaks,1969.0,1974.0,C-F,06-08,225.0
Hal Lear,1957.0,1957.0,G,6-0,163.0
Allen Leavell,1980.0,1989.0,G,06-01,170.0
Jeff Lebo,1990.0,1990.0,G,06-02,180.0
Eric Leckner,1989.0,1997.0,C-F,06-11,265.0
Ricky Ledo,2014.0,2015.0,G,06-07,195.0
Butch Lee,1979.0,1980.0,G,6-0,185.0
Clyde Lee,1967.0,1976.0,F-C,06-10,205.0
Courtney Lee,2009.0,2018.0,G,06-05,200.0
David Lee,1968.0,1969.0,F,06-07,225.0
Dick Lee,1968.0,1968.0,F,06-06,null
Doug Lee,1992.0,1995.0,G-F,06-05,200.0
George Lee,1961.0,1968.0,F-G,06-04,200.0
Greg Lee,1975.0,1976.0,G,06-03,190.0
Keith Lee,1986.0,1989.0,F-C,06-10,215.0
Kurk Lee,1991.0,1991.0,G,06-03,190.0
Malcolm Lee,2012.0,2015.0,G,06-05,200.0
Rock Lee,1982.0,1982.0,C,06-10,220.0
Ron Lee,1977.0,1982.0,G,06-04,193.0
Russ Lee,1973.0,1975.0,G-F,06-05,185.0
Ed Leede,1950.0,1951.0,F-G,06-03,185.0
Hank Lefkowitz,1947.0,1947.0,F,06-02,190.0
Tim Legler,1990.0,2000.0,G,06-04,200.0
George Lehmann,1968.0,1974.0,G,6-0,180.0
Alex Len,2014.0,2018.0,C,07-01,260.0
Voshon Lenard,1996.0,2006.0,G,06-04,205.0
Leary Lentz,1968.0,1969.0,F,06-06,200.0
Gary Leonard,1990.0,1992.0,C,07-01,250.0
Kawhi Leonard,2012.0,2018.0,F,06-07,230.0
Meyers Leonard,2013.0,2018.0,C-F,07-01,245.0
Slick Leonard,1957.0,1963.0,G,06-03,185.0
Jim Les,1989.0,1995.0,G,05-11,165.0
Travis Leslie,2012.0,2012.0,G,06-04,205.0
Ronnie Lester,1981.0,1986.0,G,06-02,175.0
Clifford Lett,1990.0,1991.0,G,06-03,170.0
Jon Leuer,2012.0,2018.0,F,06-10,228.0
Andrew Levane,1949.0,1953.0,F-G,06-02,190.0
Fat Lever,1983.0,1994.0,G,06-03,170.0
Caris LeVert,2017.0,2018.0,G-F,06-07,203.0
Cliff Levingston,1983.0,1995.0,F,06-08,210.0
Bobby Lewis,1968.0,1971.0,G,06-03,175.0
Cedric Lewis,1996.0,1996.0,F-C,06-10,235.0
Freddie Lewis,1949.0,1950.0,F-G,06-02,195.0
Grady Lewis,1947.0,1949.0,F-C,06-07,215.0
Martin Lewis,1996.0,1997.0,F,06-05,210.0
Mike Lewis,1969.0,1974.0,C-F,06-08,225.0
Quincy Lewis,2000.0,2004.0,F,06-07,215.0
Ralph Lewis,1988.0,1990.0,G,06-06,200.0
Rashard Lewis,1999.0,2014.0,F,06-10,215.0
Reggie Lewis,1988.0,1993.0,G-F,06-07,195.0
Marcus Liberty,1991.0,1994.0,F,06-08,205.0
Todd Lichti,1990.0,1994.0,G-F,06-04,205.0
Barry Liebowitz,1968.0,1968.0,G,06-02,180.0
DeAndre Liggins,2012.0,2018.0,G,06-06,209.0
Bill Ligon,1975.0,1975.0,G,06-04,180.0
Goose Ligon,1968.0,1974.0,F-C,06-07,210.0
Damian Lillard,2013.0,2018.0,G,06-03,195.0
Jeremy Lin,2011.0,2018.0,G,06-03,200.0
Steve Lingenfelter,1983.0,1984.0,F,06-09,225.0
Alton Lister,1982.0,1998.0,C-F,7-0,240.0
Samuel Little,1970.0,1970.0,G,6-0,180.0
Gene Littles,1970.0,1975.0,G,6-0,160.0
Randy Livingston,1997.0,2007.0,G,06-04,209.0
Shaun Livingston,2005.0,2018.0,G,06-07,192.0
Ron Livingstone,1950.0,1951.0,C,06-10,220.0
Horacio Llamas Grey,1997.0,1998.0,C,06-11,285.0
Bobby Lloyd,1968.0,1969.0,G,06-02,184.0
Chuck Lloyd,1971.0,1971.0,C-F,06-08,220.0
Earl Lloyd,1951.0,1960.0,F-C,06-05,200.0
Lewis Lloyd,1982.0,1990.0,G-F,06-06,205.0
Scott Lloyd,1977.0,1983.0,C-F,06-10,230.0
Riney Lochmann,1968.0,1970.0,F,06-06,215.0
Bob Lochmueller,1953.0,1953.0,F,06-05,185.0
Rob Lock,1989.0,1989.0,F,06-09,225.0
Darrell Lockhart,1984.0,1984.0,C,06-09,245.0
Ian Lockhart,1991.0,1991.0,F,06-08,240.0
Kevin Loder,1982.0,1984.0,F-G,06-06,205.0
Don Lofgran,1951.0,1954.0,F-C,06-05,200.0
Henry Logan,1969.0,1970.0,G,6-0,180.0
John Logan,1947.0,1951.0,G,06-02,175.0
Brad Lohaus,1988.0,1998.0,F-C,06-11,230.0
Art Long,2001.0,2003.0,F,06-09,250.0
Grant Long,1989.0,2003.0,F,06-08,225.0
John Long,1979.0,1997.0,G-F,06-05,195.0
Paul Long,1968.0,1971.0,G,06-02,180.0
Shawn Long,2017.0,2017.0,C-F,06-09,255.0
Willie Long,1972.0,1974.0,F-C,06-08,225.0
Luc Longley,1992.0,2001.0,C,07-02,265.0
Kevon Looney,2016.0,2018.0,F-C,06-09,220.0
Brook Lopez,2009.0,2018.0,C,7-0,275.0
Felipe Lopez,1999.0,2002.0,G,06-05,199.0
Raul Lopez,2004.0,2005.0,G,06-01,170.0
Robin Lopez,2009.0,2018.0,C,7-0,255.0
Ryan Lorthridge,1995.0,1995.0,G,06-04,190.0
Jim Loscutoff,1956.0,1964.0,F,06-05,220.0
Plummer Lott,1968.0,1969.0,F-G,06-05,210.0
Kevin Loughery,1963.0,1973.0,G,06-03,190.0
Bob Love,1967.0,1977.0,F,06-08,215.0
Kevin Love,2009.0,2018.0,F,06-10,251.0
Stan Love,1972.0,1975.0,F,06-09,215.0
Clyde Lovellette,1954.0,1964.0,C-F,06-09,234.0
Sidney Lowe,1984.0,1990.0,G,6-0,195.0
Charlie Lowery,1972.0,1972.0,G,06-03,185.0
Kyle Lowry,2007.0,2018.0,G,6-0,205.0
Al Lucas,1949.0,1949.0,F-G,06-03,195.0
Jerry Lucas,1964.0,1974.0,F-C,06-08,230.0
John Lucas,1977.0,1990.0,G,06-03,175.0
Kalin Lucas,2015.0,2015.0,G,06-01,195.0
Maurice Lucas,1975.0,1988.0,F-C,06-09,215.0
John Lucas III,2006.0,2017.0,G,05-11,166.0
Ted Luckenbill,1962.0,1963.0,F,06-06,205.0
Tyronn Lue,1999.0,2009.0,G,6-0,175.0
Jim Luisi,1954.0,1954.0,G,06-02,180.0
Al Lujack,1947.0,1947.0,F,06-03,220.0
Phil Lumpkin,1975.0,1976.0,G,6-0,165.0
Ray Lumpp,1949.0,1953.0,G,06-01,178.0
Timothe Luwawu-Cabarrot,2017.0,2018.0,F,06-06,205.0
Tyler Lydon,2018.0,2018.0,F,06-10,215.0
Trey Lyles,2016.0,2018.0,F,06-10,234.0
R.B. Lynam,1968.0,1968.0,G,06-01,190.0
George Lynch,1994.0,2005.0,F,06-08,218.0
Kevin Lynch,1992.0,1993.0,G-F,06-05,195.0
Lonnie Lynn,1970.0,1970.0,F,06-07,215.0
Mike Lynn,1970.0,1971.0,F,06-07,215.0
Sheldon Mac,2017.0,2017.0,G,06-05,200.0
Mike Macaluso,1974.0,1974.0,F,06-05,210.0
Ed Macauley,1950.0,1959.0,C-F,06-08,185.0
Todd MacCulloch,2000.0,2003.0,C,7-0,280.0
Ronnie MacGilvray,1955.0,1955.0,G,06-02,185.0
Scott Machado,2013.0,2013.0,G,06-01,205.0
Arvydas Macijauskas,2006.0,2006.0,G,06-04,214.0
Ollie Mack,1980.0,1982.0,G,06-03,185.0
Sam Mack,1993.0,2002.0,F-G,06-07,220.0
Shelvin Mack,2012.0,2018.0,G,06-03,203.0
Malcolm Mackey,1994.0,1994.0,F-C,06-09,248.0
Rudy Macklin,1982.0,1984.0,F-G,06-07,205.0
Vernon Macklin,2012.0,2012.0,F,06-10,227.0
Johnny Macknowsky,1950.0,1951.0,G-F,6-0,180.0
Don MacLean,1993.0,2001.0,F,06-10,235.0
Mark Macon,1992.0,1999.0,G,06-05,185.0
Kyle Macy,1981.0,1987.0,G,06-03,175.0
Jack Maddox,1949.0,1949.0,F-G,06-03,185.0
Tito Maddox,2003.0,2003.0,G,06-04,190.0
Gerald Madkins,1994.0,1998.0,G,06-04,200.0
Mark Madsen,2001.0,2009.0,F,06-09,240.0
Norm Mager,1951.0,1951.0,F,06-05,185.0
Josh Magette,2018.0,2018.0,G,06-01,160.0
Corey Maggette,2000.0,2013.0,F,06-06,218.0
Dave Magley,1983.0,1983.0,F,06-08,202.0
Jamaal Magloire,2001.0,2012.0,C,06-11,259.0
Randolph Mahaffey,1968.0,1971.0,F,06-07,210.0
Ian Mahinmi,2008.0,2018.0,C,06-11,250.0
John Mahnken,1947.0,1953.0,C,06-08,220.0
Brian Mahoney,1973.0,1973.0,G,06-03,175.0
Mo Mahoney,1953.0,1954.0,F,06-02,205.0
Rick Mahorn,1981.0,1999.0,C-F,06-10,240.0
Dan Majerle,1989.0,2002.0,G-F,06-06,215.0
Renaldo Major,2007.0,2007.0,F,06-07,200.0
Thon Maker,2017.0,2018.0,F-C,07-01,216.0
Lionel Malamed,1949.0,1949.0,G,05-09,150.0
Jeff Malone,1984.0,1996.0,G,06-04,205.0
Karl Malone,1986.0,2004.0,F,06-09,250.0
Moses Malone,1975.0,1995.0,C-F,06-10,215.0
Matt Maloney,1997.0,2003.0,G,06-03,192.0
Steve Malovic,1980.0,1980.0,F,06-10,230.0
Mike Maloy,1971.0,1973.0,F,06-07,215.0
Ted Manakas,1974.0,1974.0,G,06-02,180.0
John Mandic,1949.0,1950.0,F-C,06-04,205.0
Frank Mangiapane,1947.0,1947.0,G,05-10,195.0
Danny Manning,1989.0,2003.0,F-C,06-10,230.0
Ed Manning,1968.0,1976.0,F,06-07,210.0
Guy Manning,1968.0,1969.0,F,06-06,195.0
Rich Manning,1996.0,1997.0,C,06-11,253.0
Pace Mannion,1984.0,1989.0,G,06-07,190.0
Nick Mantis,1960.0,1963.0,G,06-03,190.0
Pete Maravich,1971.0,1980.0,G,06-05,197.0
Press Maravich,1947.0,1947.0,G,6-0,185.0
Devyn Marble,2015.0,2016.0,G-F,06-06,200.0
Roy Marble,1990.0,1994.0,G-F,06-06,190.0
Stephon Marbury,1997.0,2009.0,G,06-02,180.0
Sarunas Marciulionis,1990.0,1997.0,G,06-05,200.0
Saul Mariaschin,1948.0,1948.0,G,05-11,165.0
Jack Marin,1967.0,1977.0,F-G,06-07,200.0
Shawn Marion,2000.0,2015.0,F,06-07,220.0
Boban Marjanovic,2016.0,2018.0,C,07-03,290.0
Lauri Markkanen,2018.0,2018.0,F,7-0,230.0
Damir Markota,2007.0,2007.0,C,06-10,225.0
Sean Marks,1999.0,2011.0,F-C,06-10,250.0
Harvey Marlatt,1971.0,1973.0,G,06-03,185.0
Jim Marsh,1972.0,1972.0,F,06-07,215.0
Ricky Marsh,1978.0,1978.0,G,06-03,200.0
Donny Marshall,1996.0,2003.0,F,06-07,230.0
Donyell Marshall,1995.0,2009.0,F,06-09,218.0
Kendall Marshall,2013.0,2016.0,G,06-04,200.0
Rawle Marshall,2006.0,2007.0,G-F,06-09,190.0
Tom Marshall,1955.0,1959.0,F-G,06-04,215.0
Vester Marshall,1974.0,1974.0,F,06-07,200.0
Bill Martin,1986.0,1988.0,F,06-07,205.0
Bob Martin,1994.0,1995.0,C,7-0,250.0
Brian Martin,1986.0,1986.0,F,06-09,212.0
Cartier Martin,2009.0,2015.0,F,06-07,220.0
Cuonzo Martin,1996.0,1997.0,G-F,06-05,213.0
Darrick Martin,1995.0,2008.0,G,05-11,170.0
Dino Martin,1947.0,1948.0,G,05-08,160.0
Don Martin,1947.0,1949.0,C-F,06-07,210.0
Fernando Martin,1987.0,1987.0,C,06-09,220.0
Jarell Martin,2016.0,2018.0,F,06-10,239.0
Jeff Martin,1990.0,1991.0,G,06-05,195.0
Kenyon Martin,2001.0,2015.0,F,06-09,234.0
Kevin Martin,2005.0,2016.0,G,06-07,199.0
LaRue Martin,1973.0,1976.0,C,06-11,208.0
Maurice Martin,1987.0,1988.0,F-G,06-06,200.0
Phil Martin,1955.0,1955.0,G,06-03,190.0
Slater Martin,1950.0,1960.0,G,05-10,170.0
Whitey Martin,1962.0,1962.0,G,06-02,185.0
Jamal Mashburn,1994.0,2004.0,F,06-08,240.0
Al Masino,1953.0,1954.0,G,05-10,174.0
Anthony Mason,1990.0,2003.0,F,06-07,250.0
Desmond Mason,2001.0,2010.0,F,06-07,224.0
Frank Mason,2018.0,2018.0,G,6-0,189.0
Roger Mason,2003.0,2014.0,G,06-05,200.0
Tony Massenburg,1991.0,2005.0,F,06-09,220.0
Eddie Mast,1971.0,1973.0,F-C,06-09,220.0
Mangok Mathiang,2018.0,2018.0,C-F,06-10,230.0
Johnny Mathis,1968.0,1968.0,F,06-06,220.0
Wes Matthews,1981.0,1990.0,G,06-01,170.0
Wesley Matthews,2010.0,2018.0,G,06-05,220.0
Ariel Maughan,1947.0,1951.0,F,06-04,190.0
Marlon Maxey,1993.0,1994.0,F,06-08,250.0
Jason Maxiell,2006.0,2015.0,F,06-07,260.0
Cedric Maxwell,1978.0,1988.0,F,06-08,205.0
Vernon Maxwell,1989.0,2001.0,G,06-04,180.0
Don May,1969.0,1975.0,F,06-04,200.0
Scott May,1977.0,1983.0,F,06-07,215.0
Sean May,2006.0,2010.0,F,06-09,266.0
Lee Mayberry,1993.0,1999.0,G,06-01,172.0
Clyde Mayes,1976.0,1977.0,F,06-08,225.0
Tharon Mayes,1992.0,1992.0,G,06-03,175.0
Bill Mayfield,1981.0,1981.0,F,06-07,205.0
Ken Mayfield,1976.0,1976.0,G,06-02,185.0
Eric Maynor,2010.0,2014.0,G,06-03,175.0
O.J. Mayo,2009.0,2016.0,G,06-05,210.0
Travis Mays,1991.0,1993.0,G,06-02,190.0
Matt Mazza,1950.0,1950.0,F,06-03,210.0
Luc Mbah a Moute,2009.0,2018.0,F,06-08,230.0
Bob McAdoo,1973.0,1986.0,C-F,06-09,210.0
James Michael McAdoo,2015.0,2018.0,F,06-09,230.0
Ken McBride,1955.0,1955.0,G-F,06-03,190.0
Ray McCallum,2014.0,2016.0,G,06-03,190.0
Bob McCann,1990.0,1998.0,F,06-06,244.0
Brendan McCann,1958.0,1960.0,G,06-02,178.0
Mel McCants,1990.0,1990.0,F,06-08,240.0
Rashad McCants,2006.0,2009.0,G,06-04,207.0
Mike McCarron,1947.0,1950.0,G,05-11,180.0
Andre McCarter,1977.0,1981.0,G,06-03,190.0
Willie McCarter,1970.0,1972.0,G,06-03,175.0
Johnny McCarthy,1957.0,1964.0,G,06-01,185.0
Howie McCarty,1947.0,1947.0,F-G,06-02,190.0
Kelly McCarty,1999.0,1999.0,G-F,06-07,200.0
Walter McCarty,1997.0,2006.0,F,06-10,230.0
Amal McCaskill,1997.0,2004.0,F-C,06-11,235.0
Patrick McCaw,2017.0,2018.0,G,06-07,185.0
Dwayne McClain,1986.0,1986.0,G,06-06,185.0
Ted McClain,1972.0,1979.0,G,06-01,180.0
Dan McClintock,2001.0,2001.0,C,7-0,270.0
Jack McCloskey,1953.0,1953.0,G,06-02,190.0
George McCloud,1990.0,2002.0,G-F,06-06,205.0
C.J. McCollum,2014.0,2018.0,G,06-03,190.0
John McConathy,1952.0,1952.0,F,06-05,195.0
Bucky McConnell,1953.0,1953.0,G,05-10,170.0
T.J. McConnell,2016.0,2018.0,G,06-02,200.0
Keith McCord,1981.0,1981.0,G,06-07,210.0
Tim McCormick,1985.0,1992.0,C,06-11,240.0
Jelani McCoy,1999.0,2008.0,C,06-10,245.0
Paul McCracken,1973.0,1977.0,G,06-04,180.0
Chris McCray,2007.0,2007.0,G,06-05,192.0
Rodney McCray,1984.0,1993.0,F-G,06-07,220.0
Scooter McCray,1984.0,1987.0,F-G,06-09,215.0
Chris McCullough,2016.0,2018.0,F,06-11,200.0
John McCullough,1982.0,1982.0,G,06-04,190.0
Clint McDaniel,1996.0,1996.0,G,06-04,180.0
Xavier McDaniel,1986.0,1998.0,F,06-07,205.0
Jim McDaniels,1972.0,1978.0,C-F,06-11,228.0
K.J. McDaniels,2015.0,2017.0,G-F,06-06,205.0
Doug McDermott,2015.0,2018.0,F,06-08,225.0
Ben McDonald,1986.0,1989.0,F,06-08,210.0
Glenn McDonald,1975.0,1977.0,F-G,06-06,190.0
Michael McDonald,1998.0,1998.0,C,06-10,232.0
Roderick McDonald,1971.0,1973.0,F,06-06,205.0
Hank McDowell,1982.0,1987.0,F-C,06-09,215.0
Antonio McDyess,1996.0,2011.0,F-C,06-09,220.0
Jim McElroy,1976.0,1982.0,G,06-03,190.0
Patrick McFarland,1974.0,1976.0,F-G,06-05,185.0
Ivan McFarlin,2007.0,2007.0,F,06-08,240.0
Mel McGaha,1949.0,1949.0,G,06-01,190.0
Mitch McGary,2015.0,2016.0,F-C,06-10,255.0
JaVale McGee,2009.0,2018.0,C,7-0,270.0
Mike McGee,1982.0,1990.0,G-F,06-05,190.0
Bill McGill,1963.0,1970.0,C-F,06-09,225.0
George McGinnis,1972.0,1982.0,F-C,06-08,235.0
Jon McGlocklin,1966.0,1976.0,G-F,06-05,205.0
Tracy McGrady,1998.0,2012.0,F-G,06-08,210.0
Gil McGregor,1972.0,1972.0,F,06-08,240.0
Elton McGriff,1968.0,1969.0,C,06-09,225.0
Rodney McGruder,2017.0,2017.0,G,06-04,205.0
Alfred McGuire,1952.0,1955.0,G-F,06-02,180.0
Allie McGuire,1974.0,1974.0,G,06-03,175.0
Dick McGuire,1950.0,1960.0,G,6-0,180.0
Dominic McGuire,2008.0,2013.0,F,06-09,220.0
Kevin McHale,1981.0,1993.0,F-C,06-10,210.0
Maurice McHartley,1968.0,1970.0,G-F,06-03,185.0
Jim McIlvaine,1995.0,2001.0,C,07-01,240.0
Jeff McInnis,1997.0,2008.0,G,06-04,190.0
Kenny McIntosh,1972.0,1975.0,F,06-07,225.0
Bob McIntyre,1968.0,1970.0,F,06-06,215.0
Jerry McKee,1970.0,1970.0,G,06-03,190.0
Kevin McKenna,1982.0,1988.0,G-F,06-05,195.0
Forrest McKenzie,1987.0,1987.0,F,06-07,200.0
Stan McKenzie,1968.0,1974.0,F-G,06-05,195.0
Derrick McKey,1988.0,2002.0,F-C,06-09,205.0
Aaron McKie,1995.0,2007.0,G,06-05,209.0
Billy McKinney,1979.0,1986.0,G,6-0,160.0
Bones McKinney,1947.0,1952.0,F-C,06-06,185.0
Carlton McKinney,1990.0,1992.0,G,06-04,190.0
Alfonzo McKinnie,2018.0,2018.0,F,06-08,215.0
Ben McLemore,2014.0,2018.0,G,06-05,195.0
McCoy McLemore,1965.0,1972.0,F-C,06-07,230.0
George McLeod,1953.0,1953.0,F,06-05,200.0
Keith McLeod,2004.0,2007.0,G,06-02,188.0
Roshown McLeod,1999.0,2001.0,F,06-08,221.0
Jack McMahon,1953.0,1960.0,G,06-01,185.0
Nate McMillan,1987.0,1998.0,G-F,06-05,195.0
Tom McMillen,1976.0,1986.0,F-C,06-11,215.0
Jim McMillian,1971.0,1979.0,F,06-05,215.0
Shellie McMillon,1959.0,1962.0,F,06-05,205.0
Mal McMullen,1950.0,1951.0,F-C,06-05,210.0
Chet McNabb,1948.0,1948.0,F,06-02,200.0
Mark McNamara,1983.0,1991.0,C-F,06-11,235.0
Joe McNamee,1951.0,1952.0,F-C,06-06,210.0
Jerel McNeal,2015.0,2015.0,G,06-03,200.0
Chris McNealy,1986.0,1988.0,F,06-07,210.0
Bob McNeill,1961.0,1962.0,G,06-01,170.0
Larry McNeill,1974.0,1979.0,F-C,06-09,195.0
Carl McNulty,1955.0,1955.0,G,06-03,185.0
Paul McPherson,2001.0,2001.0,G,06-04,210.0
Roy McPipe,1975.0,1975.0,G,06-03,205.0
Cozell McQueen,1987.0,1987.0,F,06-11,235.0
Jordan McRae,2016.0,2017.0,G,06-06,185.0
Thales McReynolds,1966.0,1966.0,G,06-03,185.0
Josh McRoberts,2008.0,2017.0,F,06-10,240.0
Eric McWilliams,1973.0,1973.0,F,06-08,200.0
George Mearns,1947.0,1948.0,F,06-03,175.0
Stanislav Medvedenko,2001.0,2007.0,F,06-10,250.0
Darnell Mee,1994.0,1995.0,G,06-05,175.0
Jodie Meeks,2010.0,2018.0,G,06-04,210.0
Cliff Meely,1972.0,1976.0,F-C,06-08,215.0
Scott Meents,1990.0,1991.0,F,06-10,225.0
Dick Mehen,1950.0,1952.0,F-C,06-05,195.0
Monk Meineke,1953.0,1958.0,F-C,06-07,208.0
Carl Meinhold,1948.0,1949.0,G-F,06-02,185.0
Salah Mejri,2016.0,2018.0,C,07-01,245.0
Gal Mekel,2014.0,2015.0,G,06-03,191.0
Bill Melchionni,1967.0,1976.0,G,06-01,165.0
Gary Melchionni,1974.0,1975.0,G,06-02,185.0
Fab Melo,2013.0,2013.0,C,7-0,255.0
Ed Melvin,1947.0,1947.0,G,05-09,170.0
Dean Meminger,1972.0,1977.0,G,6-0,175.0
Chuck Mencel,1956.0,1957.0,G,6-0,168.0
John Mengelt,1972.0,1981.0,G,06-02,195.0
Ken Menke,1950.0,1950.0,G,6-0,168.0
Pops Mensah-Bonsu,2007.0,2011.0,F,06-09,240.0
Dewitt Menyard,1968.0,1968.0,C,06-10,210.0
Ron Mercer,1998.0,2005.0,G-F,06-07,210.0
Joe Meriweather,1976.0,1985.0,C-F,06-10,215.0
Porter Meriwether,1963.0,1963.0,G,06-02,180.0
Tom Meschery,1962.0,1971.0,F,06-06,215.0
Bill Meyer,1968.0,1968.0,G,06-03,195.0
Loren Meyer,1996.0,1999.0,C,06-10,257.0
Dave Meyers,1976.0,1980.0,F-C,06-08,215.0
Stan Miasek,1947.0,1953.0,C-F,06-05,210.0
Larry Micheaux,1984.0,1985.0,F,06-09,220.0
Jordan Mickey,2016.0,2018.0,F,06-08,235.0
Khris Middleton,2013.0,2018.0,F-G,06-08,234.0
Red Mihalik,1947.0,1947.0,G,6-0,180.0
Chris Mihm,2001.0,2009.0,C,7-0,265.0
Ed Mikan,1949.0,1954.0,C-F,06-08,230.0
George Mikan,1949.0,1956.0,C,06-10,245.0
Larry Mikan,1971.0,1971.0,F,06-07,210.0
Vern Mikkelsen,1950.0,1959.0,F-C,06-07,230.0
Al Miksis,1950.0,1950.0,C,06-07,210.0
Aaron Miles,2006.0,2006.0,G,06-01,175.0
C.J. Miles,2006.0,2018.0,G-F,06-06,225.0
Darius Miles,2001.0,2009.0,F,06-09,210.0
Eddie Miles,1964.0,1972.0,G-F,06-04,195.0
Marko Milic,1998.0,1999.0,G-F,06-06,235.0
Darko Milicic,2004.0,2013.0,F-C,7-0,250.0
Nat Militzok,1947.0,1947.0,F,06-03,195.0
Andre Miller,2000.0,2016.0,G,06-03,200.0
Anthony Miller,1995.0,2005.0,F,06-09,225.0
Bill Miller,1949.0,1949.0,F,06-03,190.0
Bob Miller,1984.0,1984.0,F,06-10,230.0
Brad Miller,1999.0,2012.0,C,06-11,244.0
Darius Miller,2013.0,2018.0,F,06-08,235.0
Dick Miller,1981.0,1981.0,F,06-06,215.0
Eddie Miller,1953.0,1954.0,C-F,06-08,225.0
Harry Miller,1947.0,1947.0,C-F,06-04,230.0
Jay Miller,1968.0,1971.0,F,06-05,205.0
Larry Miller,1969.0,1975.0,G-F,06-04,190.0
Malcolm Miller,2018.0,2018.0,F,06-07,210.0
Mike Miller,2001.0,2017.0,F-G,06-08,218.0
Oliver Miller,1993.0,2004.0,C,06-09,280.0
Quincy Miller,2013.0,2015.0,F,06-09,210.0
Reggie Miller,1988.0,2005.0,G-F,06-07,185.0
Walt Miller,1947.0,1947.0,F,06-02,190.0
Chris Mills,1994.0,2003.0,F,06-06,215.0
John Mills,1947.0,1947.0,C-F,06-08,203.0
Patty Mills,2010.0,2018.0,G,6-0,185.0
Terry Mills,1991.0,2001.0,F,06-10,230.0
Elijah Millsap,2015.0,2017.0,G-F,06-06,225.0
Paul Millsap,2007.0,2018.0,F,06-08,246.0
Harold Miner,1993.0,1996.0,G,06-05,210.0
Yao Ming,2003.0,2011.0,C,07-06,310.0
Dirk Minniefield,1986.0,1988.0,G,06-03,180.0
Dave Minor,1952.0,1953.0,G-F,06-02,185.0
Greg Minor,1995.0,1999.0,G-F,06-06,210.0
Mark Minor,1973.0,1973.0,F,06-06,215.0
Nikola Mirotic,2015.0,2018.0,F,06-10,220.0
Wat Misaka,1948.0,1948.0,G,05-07,150.0
Jason Miskiri,2000.0,2000.0,G,06-02,175.0
Donovan Mitchell,2018.0,2018.0,G,06-03,211.0
Leland Mitchell,1968.0,1968.0,G,06-04,210.0
Mike Mitchell,1979.0,1988.0,F,06-07,215.0
Murray Mitchell,1950.0,1950.0,C,06-06,null
Sam Mitchell,1990.0,2002.0,F,06-06,210.0
Todd Mitchell,1989.0,1989.0,F,06-07,205.0
Tony Mitchell,2014.0,2014.0,F,06-06,216.0
Steve Mix,1970.0,1983.0,F,06-07,215.0
Bill Mlkvy,1953.0,1953.0,F,06-04,190.0
Cuttino Mobley,1999.0,2009.0,G,06-04,190.0
Eric Mobley,1995.0,1997.0,C,06-11,235.0
Doug Moe,1968.0,1972.0,F-G,06-05,215.0
Larry Moffett,1978.0,1978.0,F,06-08,210.0
Leo Mogus,1947.0,1951.0,F-C,06-04,190.0
Nazr Mohammed,1999.0,2016.0,C,06-10,221.0
Jerome Moiso,2001.0,2005.0,F-C,06-10,235.0
Paul Mokeski,1980.0,1991.0,C-F,7-0,250.0
Jack Molinas,1954.0,1954.0,F,06-06,200.0
